weapon_type,weapon_type_description,firearm_make,firearm_model,firearm_barrel_length,firearm_caliber,total_number_of_shots,firearm_reloaded,number_of_cartridge_reloaded,handgun_worn_type,handgun_drawn_type,method_used_to_reload,sight_used,protective_cover_used,discharge_distance,object_struck_of_discharge,discharge_position,trr_report_id
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100201
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100221
Semi-Auto Pistol,"GLOCK, INC.--AU--",,21,4.6,45 CAL,2.0,False,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,BUSHES,10-15FT,PERSON,STANDING,100234
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100235
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100236
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100239
Semi-Auto Pistol,"GLOCK, INC.--AU--",,17,4.49, 9 MM,4.0,False,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,OVER 15FT,PERSON,STANDING,100245
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100246
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100255
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100267
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100285
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100293
Semi-Auto Pistol,"GLOCK, INC.--AU--",,17,4.5, 9 MM,1.0,False,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,BRICK WALL,0-5FT,UNKNOWN,STANDING,100297
Semi-Auto Pistol,"GLOCK, INC.--AU--",,19,4, 9 MM,1.0,False,0.0,OTHER (SPECIFY),OTHER (SPECIFY),,true,UNKNOWN,05-10FT,UNKNOWN,OTHER (SPECIFY),100298
Semi-Auto Pistol,"GLOCK, INC.--AU--",,21,4.5,45 CAL,14.0,False,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,BRICK WALL,05-10FT,PERSON,STANDING,100299
Semi-Auto Pistol,"GLOCK, INC.--AU--",,19,4, 9 MM,5.0,False,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,CONCRETE STAIRS,OVER 15FT,PERSON,KNEELING,100300
Semi-Auto Pistol,SIG/S. I. G./SWISS INDUSTRIAL GESELLSCHAFT   --SZ--,,P220,40,45 CAL,5.0,False,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,DNA,OVER 15FT,UNKNOWN,STANDING,100301
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100306
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100309
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100318
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100321
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100322
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100358
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100378
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100382
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100408
Semi-Auto Pistol,"SMITH & WESSON  -US- (BODYGUARD,CHIEF SPECIAL)",,5943,4, 9 MM,1.0,False,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,DNA,10-15FT,UNKNOWN,STANDING,100423
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100444
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100445
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100446
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100464
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100480
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100501
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100502
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100518
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100531
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100548
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100569
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100579
Chemical Weapon,,,,,,,,,,,,,,,,,100601
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100618
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100631
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,100633
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100633
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100646
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100648
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100662
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100665
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100676
Chemical Weapon,,,,,,,,,,,,,,,,,100684
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100687
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100691
Chemical Weapon,,,,,,,,,,,,,,,,,100704
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100713
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100736
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100746
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100748
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100753
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100760
Semi-Auto Pistol,"GLOCK, INC.--AU--",,17,4.5, 9 MM,9.0,False,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,CAR DOOR,0-5FT,PERSON,STANDING,100770
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100775
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100777
Semi-Auto Pistol,"GLOCK, INC.--AU--",,23,4,40 S&W,3.0,False,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,0-5FT,PERSON,STANDING,100780
Chemical Weapon,,,,,,,,,,,,,,,,,100784
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100784
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,100786
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100886
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,100890
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100894
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,100901
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100911
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100939
Semi-Auto Pistol,SIG/S. I. G./SWISS INDUSTRIAL GESELLSCHAFT   --SZ--,,P226,4.4, 9 MM,2.0,False,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,NONE,0-5FT,NONE,OTHER (SPECIFY),100948
Semi-Auto Pistol,"GLOCK, INC.--AU--",,19,4.01, 9 MM,4.0,False,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,NONE,10-15FT,PERSON,STANDING,100951
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100955
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100956
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100959
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100960
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100966
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100979
Taser (Probe Discharge),,,,,,,,,,,,,,,,,100998
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101023
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101027
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101068
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101125
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101133
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101170
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101179
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101181
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101205
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101232
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101238
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,101257
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101258
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101260
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101261
Chemical Weapon,,,,,,,,,,,,,,,,,101270
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101275
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101315
Chemical Weapon,,,,,,,,,,,,,,,,,101333
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101339
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101349
Chemical Weapon,,,,,,,,,,,,,,,,,101366
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101375
Chemical Weapon,,,,,,,,,,,,,,,,,101386
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101394
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101396
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101465
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101494
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101501
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101502
Chemical Weapon,,,,,,,,,,,,,,,,,101515
Chemical Weapon,,,,,,,,,,,,,,,,,101534
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101557
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101561
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101573
Chemical Weapon,,,,,,,,,,,,,,,,,101575
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101581
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101582
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101621
Chemical Weapon,,,,,,,,,,,,,,,,,101624
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101632
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101653
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101669
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101679
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101683
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101689
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101733
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,101735
Chemical Weapon,,,,,,,,,,,,,,,,,101747
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101779
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,101782
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101787
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,101794
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101849
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,101857
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101857
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101891
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101897
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101898
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,101921
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101945
Taser (Probe Discharge),,,,,,,,,,,,,,,,,101963
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102037
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,102070
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102076
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102082
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102092
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102104
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102106
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102111
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102118
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102126
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102151
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102173
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102185
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102191
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102192
Chemical Weapon,,,,,,,,,,,,,,,,,102229
Chemical Weapon,,,,,,,,,,,,,,,,,102230
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102280
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102310
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102327
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102379
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102381
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,102383
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102385
Chemical Weapon,,,,,,,,,,,,,,,,,102390
Chemical Weapon,,,,,,,,,,,,,,,,,102391
Chemical Weapon,,,,,,,,,,,,,,,,,102392
Chemical Weapon,,,,,,,,,,,,,,,,,102401
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102405
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102420
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102437
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102494
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102534
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102535
Chemical Weapon,,,,,,,,,,,,,,,,,102544
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102548
Chemical Weapon,,,,,,,,,,,,,,,,,102583
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102601
Chemical Weapon,,,,,,,,,,,,,,,,,102621
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102637
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102647
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,102657
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102657
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102662
Chemical Weapon,,,,,,,,,,,,,,,,,102668
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102670
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102676
Chemical Weapon,,,,,,,,,,,,,,,,,102691
Semi-Auto Pistol,SPRINGFIELD ARMS CO.--US--(NAME USED BY CRESCENT),,XDM,4.5, 9 MM,5.0,False,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,VEHICLE,10-15FT,PERSON,SITTING,102741
Semi-Auto Pistol,"GLOCK, INC.--AU--",,17,4.5, 9 MM,16.0,False,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,NONE,0-5FT,PERSON,STANDING,102742
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102755
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,102758
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102788
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102813
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102819
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102821
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102825
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102829
Rifle,,,DEFENDER,16,,3.0,False,,,,,true,DISTANCE,,,,102831
Semi-Auto Pistol,"GLOCK, INC.--AU--",,19,4, 9 MM,3.0,False,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,DISTANCE,0-5FT,ANIMAL,STANDING,102832
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102840
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102876
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,102925
Semi-Auto Pistol,"GLOCK, INC.--AU--",,17,4.49, 9 MM,3.0,False,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,NONE,05-10FT,PERSON,STANDING,102935
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102942
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102962
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102979
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102985
Taser (Probe Discharge),,,,,,,,,,,,,,,,,102987
Chemical Weapon,,,,,,,,,,,,,,,,,102990
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103032
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103034
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103038
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103043
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103044
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103101
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103105
Semi-Auto Pistol,"SMITH & WESSON  -US- (BODYGUARD,CHIEF SPECIAL)",,M&P,4, 9 MM,3.0,False,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,0-5FT,PERSON,STANDING,103156
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103161
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103191
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103204
Semi-Auto Pistol,"GLOCK, INC.--AU--",,21,4.6, 45 ACP,14.0,True,13.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,EMERGENCY RELOAD,true,POLICE VEHICLE,OVER 15FT,BOTH,SITTING,103227
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,103248
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103254
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103261
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103262
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103265
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103285
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103293
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103294
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103336
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103345
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103350
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103351
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103357
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103360
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103387
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103394
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103409
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103429
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103435
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103455
Chemical Weapon,,,,,,,,,,,,,,,,,103456
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103467
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103486
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103513
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103553
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103568
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,103584
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103600
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103642
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,103645
Semi-Auto Pistol,"GLOCK, INC.--AU--",,17,4.5, 9 MM,8.0,False,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,05-10FT,PERSON,OTHER (SPECIFY),103649
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103650
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103651
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,103654
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103654
Chemical Weapon,,,,,,,,,,,,,,,,,103665
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103667
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103668
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103691
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103693
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,103696
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,103701
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103720
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,103768
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103770
Semi-Auto Pistol,SPRINGFIELD ARMS CO.--US--(NAME USED BY CRESCENT),,XD,4, 45 ACP,1.0,False,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,WALL,10-15FT,OBJECT,STANDING,103793
Semi-Auto Pistol,"GLOCK, INC.--AU--",,19,4, 9 MM,1.0,False,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,DNA,true,CORNER OF BUILDING,OVER 15FT,UNKNOWN,STANDING,103795
Semi-Auto Pistol,"GLOCK, INC.--AU--",,22,4.5,40 S&W,3.0,False,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,REAR FENCE,10-15FT,PERSON,STANDING,103797
Semi-Auto Pistol,"GLOCK, INC.--AU--",,21,4.5, 45 ACP,1.0,False,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,NONE,true,NO COVER,05-10FT,UNKNOWN,STANDING,103798
Semi-Auto Pistol,"GLOCK, INC.--AU--",,19,4, 9 MM,1.0,False,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,10-15FT,UNKNOWN,STANDING,103801
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103812
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103814
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,103831
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103839
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103842
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103846
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103872
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103877
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103881
Semi-Auto Pistol,"GLOCK, INC.--AU--",,22,4,40 S&W,6.0,True,15.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,LT HAND TACTICAL,false,SQUAD CAR,0-5FT,PERSON,STANDING,103890
Semi-Auto Pistol,"GLOCK, INC.--AU--",,23 GEN 4,4.02,40 S&W,6.0,False,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,DNA,true,NONE,0-5FT,PERSON,STANDING,103891
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103896
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103904
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103905
Taser (Probe Discharge),,,,,,,,,,,,,,,,,103927
Semi-Auto Pistol,"GLOCK, INC.--AU--",,19,4, 9 MM,2.0,False,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,NONE,10-15FT,NONE,STANDING,103970
Semi-Auto Pistol,"GLOCK, INC.--AU--",,19,4.02, 9 MM,5.0,False,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,10-15FT,NONE,STANDING,103973
Chemical Weapon,,,,,,,,,,,,,,,,,103992
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,104011
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104011
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104012
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104015
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104023
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104031
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104036
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104048
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104060
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104087
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104091
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104095
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104096
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104100
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104101
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104109
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104127
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104128
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104155
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104158
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104162
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104164
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104167
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104168
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104243
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104247
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104248
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104299
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104308
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104311
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104312
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104353
Semi-Auto Pistol,"GLOCK, INC.--AU--",,19,4, 9 MM,2.0,False,0.0,LEFT SIDE (WAIST),STRONG SIDE DRAW,N/A,false,NONE,10-15FT,PERSON,SITTING,104360
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104398
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104408
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104424
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104426
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104435
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104460
Semi-Auto Pistol,SPRINGFIELD ARMORY M1A,,XD-45,3.1, 45 ACP,1.0,False,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,DNA,false,NONE,0-5FT,PERSON,STANDING,104468
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104482
Semi-Auto Pistol,"GLOCK, INC.--AU--",,19,4.02, 9 MM,11.0,False,0.0,RIGHT SIDE (WAIST),STRONG SIDE DRAW,DNA,true,DISTANCE,05-10FT,OBJECT,STANDING,104521
Semi-Auto Pistol,"GLOCK, INC.--AU--",,17,4.5, 9 MM,5.0,False,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,false,NONE,0-5FT,OBJECT,STANDING,104522
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104538
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104548
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104551
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104574
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104595
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104599
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104607
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104608
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104622
Chemical Weapon,,,,,,,,,,,,,,,,,104627
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104631
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104665
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104670
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104672
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104673
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104676
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104679
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104680
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104683
Semi-Auto Pistol,"SMITH & WESSON  -US- (BODYGUARD,CHIEF SPECIAL)",,M&P,4.25, 9 MM,5.0,False,,RIGHT SIDE (WAIST),STRONG SIDE DRAW,,true,NONE,10-15FT,UNKNOWN,STANDING,104689
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104690
Taser (Drive Stun Mode),,,,,,,,,,,,,,,,,104704
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104731
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104736
Taser (Probe Discharge),,,,,,,,,,,,,,,,,104762
